Block Index,Storage Assignment (Mb) C = 1,Storage Assignment (Mb) C = 2,Storage Assignment (Mb) C = 3,Storage Assignment (Mb) C = 4,Storage Assignment (Mb) C = 5,Blockchain size (Mb)
0,0,0,0,0,0,0.048598
1,0,0,0,0,0,0.146594
2,0,0,0,0,0,0.189039
3,0,0,0,0,0,0.232568
4,0,0,0,0,0,0.278365
5,0,0,0,0,0,0.327175
6,0,0,0,0,0,0.371164
7,0,0,0,0,0,0.41794
8,0,0,0,0,0,0.459381
9,0,0,0,0,0,0.508415
10,0,0,0,0,0,0.551923
11,0,0,0,0,0,0.60244
12,0,0,0,0,0,0.644842
13,0.10498064285714286,0.1535322857142857,0.22635975,0.2830033333333334,0.3962905,0.679723
14,0.11706028571428571,0.17102657142857142,0.251976,0.31493666666666664,0.440858,0.755528
15,0.12321628571428571,0.1804265714285714,0.266242,0.3329873333333333,0.466478,0.800944
16,0.12887985714285716,0.18931771428571428,0.2799745,0.3504853333333333,0.491507,0.84613
17,0.1359127142857143,0.19980542857142858,0.2956445,0.370186,0.519269,0.894498
18,0.14160857142857142,0.20870414285714287,0.3093475,0.3876256666666667,0.544182,0.939338
19,0.15353121428571428,0.22561142857142857,0.33373175,0.4178253333333333,0.5860125,1.009123
20,0.16276014285714285,0.24127528571428572,0.359048,0.450649,0.633851,1.099212
21,0.16853692857142857,0.24989185714285714,0.37192425,0.4668383333333333,0.6566665,1.138969
22,0.17547957142857143,0.2610821428571429,0.389486,0.4893556666666667,0.689095,1.198436
23,0.207816,0.306491,0.4545035,0.5696243333333333,0.799866,1.38145
24,0.21401707142857143,0.31562614285714286,0.46803975,0.5865836666666667,0.8236715,1.422527
25,0.22013157142857143,0.32463914285714285,0.4814005,0.603326,0.847177,1.463106
26,0.3315888571428572,0.45421371428571433,0.638151,0.7812133333333334,1.067338,1.716748
27,0.3380748571428572,0.4652247142857143,0.6559495,0.804291,1.100974,1.780098
28,0.35924064285714286,0.4940832857142857,0.69634725,0.8536636666666666,1.1682965,1.887797
